obs_id,exchange_idx,student_text,teacher_text,student_on_task,student_on_task_num_agree,student_on_task_majority,student_on_task_zscore,teacher_on_task,teacher_on_task_num_agree,teacher_on_task_majority,teacher_on_task_zscore,uptake,uptake_num_agree,uptake_majority,uptake_zscore
4,65,And then when I was doing the problems –,Yeah.,0.6666666666666666,2,1,-0.2947476917592531,0.6666666666666666,2,1,-0.3364878571559044,0.0,2,0.0,-1.7397477310660059
4,296,I’m having trouble with these two.,To solve them?,1.0,3,1,0.4191447961728436,1.0,3,1,0.3996730192756881,0.6666666666666666,2,1.0,-0.8144447906058684
7,69,"They are different, the denominator are different.",Different or what word did I use?,1.0,3,1,0.410270151697073,1.0,3,1,0.4055742499032178,1.6666666666666667,2,2.0,0.4775706177693373
7,80,Oh that four is half of eight.,So you noticed something.  Thank you very much.  Okay so let’s go now – some people will tell me it was something that you noticed okay?  That you noticed right away.  We’re talking about the denominator – unlike denominator.  What is something that you noticed?  Student E?,1.0,3,1,0.4565234246024298,1.0,3,1,0.4538810581658176,1.3333333333333333,2,1.0,0.04171253806107319
7,321,Two goes into two one time.,So what do you call what you just did? Okay.  So –,1.0,3,1,0.4429069746027787,1.0,3,1,0.4468143362150448,1.6666666666666667,2,2.0,0.6061971207472545
7,468,For number two or number one?,Number one.,0.6666666666666666,2,1,-0.34429028242995896,0.6666666666666666,2,1,-0.38574797003369504,0.5,1,,-0.986103089645238
8,71,Can you just do it on the paper?,"Well, you have to kind of follow what it says.  You’re gonna have to draw the design.  So, you have to draw one pattern that you come up with for Number 2. And then, for Number 3, you can – kind of like we talked about before, conjectures are kind of like guesses in math, right?  You can come up with conjectures and say, oh, well, I think 10 times 1 times 3 is gonna work or something like that. But how do you know?  You have to find some way to figure out if that’s gonna work.  You have to build it or draw it or be able to explain it to us.  ’Cause what we’re gonna do is I have a chart that we’re gonna put up at the end and we’re gonna come up with all different ways that we can build that new box. Got it?",1.0,3,1,0.4812603113570074,1.0,3,1,0.467806165536435,2.0,3,2.0,0.9510569432797448
8,146,"No, no, we don’t have to build.","The thing is, it’s gonna be hard for them to prove to me if it works, right, ’cause they’re gonna be, like – I have to take their word for it.",0.6666666666666666,2,1,-0.4228207454632956,0.6666666666666666,2,1,-0.4218153569388704,1.0,2,1.0,-0.4955700788904824
8,286,When you added one – they had to – they doubled the 2.,"They doubled the 2, which made it 4.",1.0,3,1,0.4575884416188015,1.0,3,1,0.4352966636860692,2.0,3,2.0,0.7875726571966993
9,197,We can make 18 combinations.,"Oh, so instead of you, we.  I like it.",1.0,3,1,0.42095816864068175,1.0,3,1,0.39895993991199896,0.6666666666666666,2,1.0,-0.7430993129086948
9,726,"Teacher R, when you asked for mine.  I told you that I had trouble with the homework.  You know?",Yes.,0.6666666666666666,2,1,-0.3490671666601615,0.6666666666666666,2,1,-0.4176949530960747,1.0,2,1.0,-0.3263844424458002
10,283,How many snowballs are there in all?,"Excellent.  So you have 10 piles.  So the piles are the groups, right?",1.0,3,1,0.3860388230755009,1.0,3,1,0.3757026684611688,1.6666666666666667,2,2.0,0.6274944145687043
10,297,There’s 58 people and 6 in each group.,There are 58 people in total though?,1.0,3,1,0.4451894972622539,1.0,3,1,0.428831521354048,1.6666666666666667,2,2.0,0.4808009820409175
11,76,"You could write, I know that it’s 20 percent because 20 percent is equal to –","Okay, go ahead.  Equal to what?",1.0,3,1,0.46966998515816494,1.0,3,1,0.4381676933632607,1.6666666666666667,2,2.0,0.4185722394539874
11,319,I know why I got 25.,Yes.  What’s that?,1.0,3,1,0.4470520758685728,1.0,3,1,0.427473725610392,1.0,3,1.0,-0.5182820824593359
